Heldout_Condition_ID,Source_Original_Indices,Original_Index,Recommendation_Eligible,Scenario,YS_Weight,UTS_Weight,El_Weight,Uncertainty_Weight,Weight_Sum,Normalized_YS_Component,Normalized_UTS_Component,Normalized_El_Component,NormalizedUncertaintyPenalty,ScenarioScore,ScenarioRank,BaselineRank,RankShift
HTC-061,73,73,False,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.600442120789745,0.6510254459904741,0.5413009096500765,1.1703038311513254,0.2440164563427297,26,26,0
HTC-062,33,33,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.2595796526051096,0.45705693775994743,0.6031764512420974,2.9497845530888402,-0.2380230900662642,80,80,0
HTC-063,30,30,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.35084266621536725,0.44181212290930294,0.33458384652950873,1.2194386473037773,0.056713356283561084,55,56,1
HTC-064,25,25,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.3172854420541814,0.4018395259487931,0.21975795607098297,0.6337180587585415,0.12363448830320908,43,45,2
HTC-065,355,355,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.37809121987480987,0.49733649173306543,0.830910748721468,3.6781163420521654,-0.2806258921154694,82,82,0
HTC-066,340,340,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.24111333371174015,0.2630316268751971,0.3584560965301998,5.024269412531809,-0.7748340261828743,86,86,0
HTC-067,244,244,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.1781840136389091,0.14852468593890017,0.6487396283056175,2.664121427226678,-0.27273709036165633,81,81,0
HTC-068,409,409,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4360194706600263,0.5024118225562137,0.36318169758911034,1.4359769240850337,0.05990848166102131,54,57,3
HTC-069,245,245,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.2970329435211899,0.4934560643459218,0.669040355059841,2.082983720834389,-0.02740716710976554,68,63,-5
HTC-070,423,423,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.47990550641307167,0.5316970028141046,0.4504739498780354,1.2180933343661355,0.14627207737514505,41,38,-3
HTC-071,248,248,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.023579582914438176,0.08090493815474124,0.6747386537874084,3.7949886231165046,-0.5512463777544278,85,85,0
HTC-072,15,15,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4350525611450547,0.526043833274987,0.46336097804488136,1.3623512443690746,0.10738619626477558,46,44,-2
HTC-073,11,11,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.45702277594698903,0.5142818601319399,0.4164924506241052,1.0675081939615587,0.15658219498632503,38,36,-2
HTC-074,9,9,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4441497638181094,0.45319859921519934,0.3122355398671438,0.5041411727151497,0.221736568806534,29,30,1
HTC-075,55,55,False,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.08411161057079218,0.13411287287899443,0.7406621958665782,1.4338943835846898,-0.031117865562850122,69,55,-14
HTC-076,417,417,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.34408641957227043,0.32750216725842257,0.6792881720952217,1.4897630856072688,0.06225828566687819,52,43,-9
HTC-077,420,420,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.3526277028570632,0.38711561987466364,0.8036615325533165,1.2090416823960841,0.16973737227204888,36,27,-9
HTC-078,370,370,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4098857623690438,0.39240778359999795,0.02204019304995992,0.32367606464602056,0.15511239124785864,39,46,7
HTC-079,373,373,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4144394154243227,0.3922086291299246,0.029902221593636456,0.7517329613720175,0.07275837348507774,49,62,13
HTC-080,383,383,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.45328334368692974,0.43345290594617564,0.0,0.5845963972079757,0.11957327833555402,45,54,9
HTC-081,379,379,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.35203768690841375,0.36072360955037924,0.01929431401336931,0.7763224673373507,0.039972808414054206,58,64,6
HTC-082,390,390,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.43934395167146,0.4140482686106755,0.013199098020110663,0.4629406490590162,0.1385304548696038,42,47,5
HTC-083,396,396,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.3006592589716785,0.35315264803178265,0.034649123200864614,0.8706954862529642,0.009469994592580744,62,68,6
HTC-084,398,398,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.2949014151357516,0.32732774505306556,0.03561245265044976,1.0537165487830062,-0.03530051285763383,70,75,5
HTC-085,400,400,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.3412605235777724,0.4000883990564698,0.022903576789703256,1.0833826311211576,-0.012852674985544238,65,72,7
HTC-086,401,401,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.32247102551835855,0.43806296142583073,0.026616902404180603,1.1709317343228,-0.024255866365590212,66,74,8
HTC-087,46,46,False,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.2676937945859571,0.2847272870303996,0.3859079861745652,1.4332767122841987,-0.036441570875618334,71,67,-4
HTC-001,192,192,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7862321418270019,0.7557520656209271,0.4800997483420877,0.641463190927375,0.4333705813379287,9,10,1
HTC-002,165,165,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.29331285336698143,0.5465670605767088,0.7163003203530487,1.8834171254459007,-0.006784807556436068,64,48,-16
HTC-003,113,113,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.9999999999999974,0.9999999999999973,0.29217284474435806,1.2235429877849155,0.41372597139188705,11,23,12
HTC-004,93,93,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.3748840023716718,0.557097896638455,0.14381445786918642,1.396105094791049,0.010915052891987187,61,69,8
HTC-005,77,77,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.49104166008341915,0.662583302388458,0.10951201155695277,0.793445452280816,0.19214663636628665,32,42,10
HTC-006,78,78,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4902937786194948,0.6607568671328211,0.11263312500280243,0.7969175814140611,0.19141199359211036,33,41,8
HTC-007,79,79,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4495795723905804,0.6235358705703312,0.13094336911768734,0.4798796559428002,0.23475174570527582,27,33,6
HTC-008,82,82,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4775191860690122,0.646877674304589,0.1253029267296098,0.6872076012823739,0.2080022743779699,30,39,9
HTC-009,101,101,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.3551874571136435,0.5293322104186733,0.23939032452866035,1.2197115560275815,0.0518771786294078,53,60,7
HTC-010,204,204,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.2680056254237273,0.4138648085179763,0.4436490618391234,5.594247766541408,-0.8401445290673708,87,87,0
HTC-011,153,153,False,YS priority,0.4,0.2,0.2,0.2,1.0,0.0,0.20034172579901716,0.7772532379532352,3.8463569147083168,-0.5737523901912129,84,84,0
HTC-012,90,90,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.3627895648683619,0.48365261701949136,0.08603443702116813,0.39556639946084343,0.179939956863308,37,40,3
HTC-013,0,0,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.32676000778329295,0.4424336789258449,0.33714716221813734,1.2273742755136612,0.04114531623938139,56,58,2
HTC-014,75,75,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8697463865843483,0.8885828703737416,0.520650875751469,1.6169625655416564,0.3063527907504502,22,25,3
HTC-015,116,116,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8432892672154388,0.8797237791741401,0.5560269089855746,1.0239191400255583,0.41968201651300685,10,14,4
HTC-016,117,117,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8904802255926808,0.9102795555911528,0.5121907032502013,1.3886185144518874,0.36296243911496573,16,21,5
HTC-017,180,180,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.42689826363396394,0.5925674429717638,0.43878887676618883,2.2122565095983986,-0.06542073251850361,71,73,2
HTC-018,439;446,439,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.1995133271805282,0.3577706120505118,0.320422565249201,0.13859200672938635,0.18772556498627657,35,29,-6
HTC-019,426;433;447,426,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.21479419142646963,0.3735238037008226,0.26428804852326404,0.7771905643636922,0.05804193414266673,52,52,0
HTC-020,428;442,428,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.22312213089071728,0.38059944552716896,0.25285964750308704,0.985986897869147,0.018743291388508693,60,61,1
HTC-021,443,443,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.18525244623190096,0.33523944267404676,0.29682075193550256,1.22071066644909,-0.043629115875147784,67,66,-1
HTC-022,437,437,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.19202391363352495,0.33056515162179895,0.313400131553534,0.7801712202171404,0.04956837804504849,55,50,-5
HTC-023,287,287,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6701957758133418,0.7769227284237366,0.6748477088131491,0.904784928164421,0.3774754121398297,15,9,-6
HTC-024,289,289,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7293006658398965,0.8076521294523163,0.629546033638158,0.6402147682150584,0.45111694531104185,7,5,-2
HTC-025,290,290,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7526526551139917,0.8169548949128209,0.6315094871207356,0.6016539032975711,0.47042315779279376,4,2,-2
HTC-026,291,291,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7757328874440838,0.8322315016394674,0.6255858173605405,0.5060720065771306,0.5006422174622089,1,1,0
HTC-027,297,297,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8179954300833711,0.8345023295625219,0.6240740460122846,0.7129239483192675,0.47632865748445624,3,3,0
HTC-028,298,298,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7978558302784157,0.7924218793610969,0.6192510708368346,0.8060508445660558,0.44026675323774145,8,8,0
HTC-029,299,299,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8288232610950828,0.807528948626646,0.5956676005621006,0.6539148144284015,0.4813856513901022,2,4,2
HTC-030,302,302,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8325673270178948,0.7949991303074472,0.6247799957794787,1.0686592638794825,0.4032509032486466,12,15,3
HTC-031,304,304,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.826342195955923,0.7828359096458184,0.6408665135616579,1.076439330548137,0.3999894969142371,14,13,-1
HTC-032,312,312,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8079050635933825,0.7806423913228144,0.597784832504919,1.2218701508203373,0.3544734400388323,18,20,2
HTC-033,317,317,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7349108918292716,0.699086151339455,0.665440479878567,1.8594196283865891,0.19498575729799517,31,31,0
HTC-034,70,70,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7135457265539575,0.7707293735220277,0.6284018433210457,2.3604580048865724,0.09315293301288319,48,49,1
HTC-035,368,368,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6229386515241316,0.6951613947117825,0.6108030771406358,2.9603205567665967,-0.08169575637318305,73,76,3
HTC-036,227,227,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.44293663106501835,0.5871798019905573,0.3623362151828172,1.4178408735537742,0.0835096811499274,49,53,4
HTC-037,218,218,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.816750666585657,0.863915881718573,0.48062298797158315,1.2169352763588672,0.35222098530052065,19,22,3
HTC-038,39,39,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.3876068110564949,0.5193716737149315,0.5388901015578983,1.1959271849508009,0.12750964248700378,43,34,-9
HTC-039,196,196,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4496423963275388,0.5989406794173028,0.47103867060576915,0.913541089867301,0.2111446105621697,29,28,-1
HTC-040,209,209,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.8253638129159051,0.8660738356839282,0.4917468671847753,1.0085024649616698,0.4000091727477688,13,18,5
HTC-041,284,284,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6156377894170287,0.7527428808585825,0.9999999999999551,1.5888574317167297,0.27903220559517317,24,16,-8
HTC-042,280,280,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6855042208230517,0.7714663501794881,0.8820631457011258,1.5611851660502174,0.2926705542953,23,19,-4
HTC-043,278,278,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6928718704983505,0.763474433870608,0.8471012760244443,1.3113154839340508,0.3370007933915405,21,11,-10
HTC-044,275,275,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6902559502524742,0.7350745468092832,0.7956915653075456,1.1928016159762171,0.34369527932911204,20,12,-8
HTC-045,76,76,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.2401511190795987,0.4550748542354768,0.928160091234357,3.143120889382619,-0.2559167411507175,78,78,0
HTC-046,336,336,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.21904936192041016,0.45433754749936456,0.8012976600979257,1.924452179033505,-0.0461436495190789,69,51,-18
HTC-047,338,338,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4185821646079549,0.5146635697521728,0.5364612096639945,2.9418141551617616,-0.21070500930593689,77,79,2
HTC-048,124,124,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7322400199221214,0.694881816468174,0.6852783221759449,1.5705303576069654,0.2548219641762793,25,24,-1
HTC-049,353,353,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6709949324605392,0.7117057866510802,0.6228902044242937,0.8894676413873315,0.35742364292182427,17,17,0
HTC-050,234,234,False,YS priority,0.4,0.2,0.2,0.2,1.0,0.27354161939701155,0.33034507362414584,0.5081859969852337,0.8796307569126239,0.10119671049815573,45,35,-10
HTC-051,140,140,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.6188450254018482,0.6276728435063135,0.5752091162564846,1.4952233557512242,0.18906973096305402,34,32,-2
HTC-052,132,132,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7640242138512301,0.7212439596818648,0.47696101210918956,0.3933582527738643,0.46657902934393003,6,7,1
HTC-053,137,137,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.7609739743212557,0.7216609105155154,0.48093848637094044,0.38080782801259944,0.4687479035032735,5,6,1
HTC-054,42,42,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.02395451111753906,0.3001876940218534,0.8549449088799391,2.53220675604301,-0.26583302618122784,79,77,-2
HTC-055,19,19,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4003553770892471,0.6777178609500484,0.7658259549604595,3.8802741496660746,-0.32720391591541453,83,83,0
HTC-056,72,72,False,YS priority,0.4,0.2,0.2,0.2,1.0,0.31165590027405793,0.5175323448771805,0.8708499178351147,2.652515419298649,-0.12816427120764756,74,65,-9
HTC-057,22,22,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.4092734102619079,0.6329564855467876,0.5998568761233757,2.079516245758216,-0.005631212712847389,63,59,-4
HTC-058,57,57,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.18500772374770266,0.19623484773099187,0.6708910956658845,1.9916256853762417,-0.15089685889679202,75,70,-5
HTC-059,56,56,True,YS priority,0.4,0.2,0.2,0.2,1.0,0.18353564441657658,0.19582943936439895,0.6678924387419415,2.00649090516478,-0.15513954764505727,76,71,-5
