Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,Calculated_Al_Balance,Reported_NonAl_Element_Sum,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible,Out_of_Range_Feature_Count,Out_of_Range_Features,Out_of_Range_Composition_Count,Out_of_Range_Composition_Variables,Out_of_Range_Processing_Count,Out_of_Range_Processing_Variables,Selected_Feature_Range_Violations,Within_All_Training_Feature_Ranges,Within_All_Training_Raw_Ranges,Pred_YS,Pred_UTS,Pred_El,EnsembleStd_YS,EnsembleStd_UTS,EnsembleStd_El,Lower_YS,Upper_YS,Lower_UTS,Upper_UTS,Lower_El,Upper_El,UncWidth_YS,UncWidth_UTS,UncWidth_El,NormalizedUncWidth_YS,NormalizedUncWidth_UTS,NormalizedUncWidth_El,NormalizedPred_YS,NormalizedPred_UTS,NormalizedPred_El,StrengthScore,DuctilityScore,NormalizedUncertaintyPenalty,PropertyOnlyScore,PropertyOnlyRank,ReliabilityAwareScore,ReliabilityAwareRank,RankShift,KNN_k,KNN_Mean_Distance,KNN_AD_Threshold,Distance_AD_Status,Applicability_Domain_Status,Recommendation_Eligible
HTC-003,113,1,Final_Test,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,470.0,120.0,48.0,89.56,10.440000000000003,False,True,0,,True,0,,0,,0,,,True,True,611.9955249999994,651.8592437499993,8.332173750000091,18.119699843733567,16.147599693993225,0.5326359444690509,524.2432821588778,699.7477678411209,580.260650371391,723.4578371286077,5.316990290826468,11.347357209173715,175.50448568224306,143.19718675721674,6.030366918347247,1.4573580400865644,1.3789852971290666,0.8342856261391155,0.9999999999999974,0.9999999999999973,0.29217284474435806,0.9999999999999973,0.29217284474435806,1.2235429877849155,0.5168691378977421,25,0.272160540340759,23,2,5,1.6316774952997828,2.6849196546971856,Inside,Inside,True
HTC-048,124,1,Final_Test,0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,24.0,91.32,8.68,False,True,0,,True,0,,0,,0,,,True,True,502.43103937500007,534.0007662500002,17.087536875000037,9.805004967234135,6.27690036505112,2.1623361958058887,454.94619223260287,549.9158865173972,506.16893700790047,561.8325954920999,4.846830429605532,29.32824332039454,94.96969428479434,55.66365848419946,24.48141289078901,0.7886114533909683,0.536039627400405,3.3869399920295225,0.7322400199221214,0.694881816468174,0.6852783221759449,0.7135609181951477,0.6852783221759449,1.5705303576069654,0.559535696148437,15,0.24542962462704393,24,-9,5,0.23578906333926394,2.6849196546971856,Inside,Inside,True
HTC-014,75,1,Final_Test,0.0,0.0,2.2,0.0,2.5,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,130.0,24.0,86.7,13.3,False,True,0,,True,0,,0,,0,,,True,True,558.69715625,608.8219750000005,13.420905000000008,27.891551347858965,20.84759736111693,0.5281284341277304,423.6206258589,693.7736866411001,516.383552295825,701.2603977041761,10.43123797566179,16.410572024338226,270.1530607822001,184.87684540835107,5.979334048676435,2.2433029768695416,1.7803593588047295,0.8272253609506983,0.8697463865843483,0.8885828703737416,0.520650875751469,0.879164628479045,0.520650875751469,1.6169625655416564,0.5599262016922055,14,0.23653368858387425,25,-11,5,1.144737291236761,2.6849196546971856,Inside,Inside,True
HTC-061,73,1,Final_Test,0.4,0.6,0.65,0.55,1.6,0.0,7.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,493.0,120.0,24.0,88.5,11.5,False,True,0,,True,0,,0,,0,,,True,True,448.50076562500027,517.0602975000002,13.880828749999987,15.203471314657891,13.593959012791052,0.7196402063625205,374.87158200281635,522.1299492471842,456.78456845541734,577.336026544583,9.807038276926544,17.95461922307343,147.25836724436783,120.55145808916564,8.147580946146885,1.2228072954337756,1.1609075011667596,1.127196696853441,0.600442120789745,0.6510254459904741,0.5413009096500765,0.6257337833901095,0.5413009096500765,1.1703038311513254,0.4668138772160744,35,0.23275311098580934,26,9,5,3.456051596524629,2.6849196546971856,Outside,Outside,False
HTC-077,420,1,Final_Test,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,190.0,2.0,96.57,3.4299999999999997,False,True,0,,True,0,,0,,0,,,True,True,347.0977881398809,415.1194366071428,19.724203251488095,8.723348231332272,7.478360732972004,1.4600131785184578,304.8513172027075,389.3442590770543,381.9603219529575,448.2785512613281,11.45925684811497,27.989149654861222,84.4929418743468,66.31822930837063,16.529892806746254,0.7016143643991465,0.6386428757356026,2.286867807053503,0.3526277028570632,0.38711561987466364,0.8036615325533165,0.3698716613658634,0.8036615325533165,1.2090416823960841,0.469413277567672,34,0.22760494108845514,27,7,5,0.5059662696735736,2.6849196546971856,Inside,Inside,True
HTC-039,196,1,Final_Test,0.05,0.05,1.02,0.31,1.62,0.0,3.94,0.0,0.0,0.12,0.0,0.0,0.0,0.0,525.0,100.0,76.0,92.89,7.11,False,True,0,,True,0,,0,,0,,,True,True,386.7951506249997,496.9414333333335,12.315927083333387,12.361338487428004,7.490850043797946,0.7065530175242171,326.93018672251554,446.6601145274838,463.72694096953205,530.155925697135,8.316221498786987,16.315632667879786,119.72992780496827,66.42898472760294,7.999411169092799,0.9942160295633324,0.6397094476296277,1.106697792408943,0.4496423963275388,0.5989406794173028,0.47103867060576915,0.5242915378724208,0.47103867060576915,0.913541089867301,0.39813208339127604,43,0.21542386541781583,28,15,5,1.5614967667942579,2.6849196546971856,Inside,Inside,True
HTC-018,439;446,2,Final_Test,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0,535.0,191.0,20.0,92.87,7.13,False,True,0,,True,0,,0,,0,,,True,True,284.4450429166653,403.78429458333295,8.961360000000134,0.5593047418060326,1.4015879562805544,0.16030908291738533,281.7363751794034,287.15371065392713,397.56964171097724,409.99894745568866,8.053870895548936,9.868849104451332,5.417335474523725,12.429305744711428,1.8149782089023958,0.04498459044481336,0.1196939008623024,0.25109752888104325,0.1995133271805282,0.3577706120505118,0.320422565249201,0.27864196961552,0.320422565249201,0.13859200672938635,0.2396258139458884,72,0.2119074126000111,29,43,5,0.008661946845712254,2.6849196546971856,Inside,Inside,True
HTC-074,9,1,Final_Test,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,190.0,3.0,92.15,7.85,False,True,0,,True,0,,0,,0,,,True,True,384.5476248541666,440.64541229166673,8.779016114583333,10.761336203023978,3.954300419097489,0.19740519145125743,332.43134278089286,436.66390692744034,423.11201081344007,458.1788137698934,7.661530722963468,9.8965015062032,104.23256414654747,35.06680295645333,2.2349707832397314,0.8655286775566369,0.33769242810794387,0.3092024124808684,0.4441497638181094,0.45319859921519934,0.3122355398671438,0.4486741815166544,0.3122355398671438,0.5041411727151497,0.3043638885535193,59,0.20353565401048937,30,29,5,0.5595169483591687,2.6849196546971856,Inside,Inside,True
HTC-033,317,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,160.0,30.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,503.5239312499997,535.6247812500031,16.645702500000127,27.821701634271378,23.16923573816201,0.8695142413145444,368.7856773799568,638.2621851200427,432.89219438661104,638.3573681133953,11.723494440101518,21.567910559898735,269.4765077400859,205.46517372678426,9.844416119797216,2.2376850007156137,1.978624441286558,1.3619494431575963,0.7349108918292716,0.699086151339455,0.665440479878567,0.7169985215843633,0.665440479878567,1.8594196283865891,0.5529756005851721,19,0.18109167490785427,31,-12,5,0.20628482370908302,2.6849196546971856,Inside,Inside,True
HTC-051,140,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,8.0,91.03,8.969999999999999,False,True,0,,True,0,,0,,0,,,True,True,456.03103500000014,508.0398512500021,14.636042499999927,20.214848397611156,12.167724389433992,1.1623905802451975,358.13215694018277,553.9299130598175,454.0880585632782,561.991643936726,8.055899249437534,21.21618575056232,195.79775611963476,107.90358537344775,13.160286501124787,1.6258697491555256,1.0391088058857865,1.8206915122123606,0.6188450254018482,0.6276728435063135,0.5752091162564846,0.6232589344540809,0.5752091162564846,1.4952233557512242,0.4793872202842262,33,0.18034254913398134,32,1,5,0.05052802326665477,2.6849196546971856,Inside,Inside,True
