Outer_ID,Repeat,Fold,Target,Metric,Difference_k12_minus_k17
R03_F04,3,4,UTS,RMSE,-3.11649112864513
R03_F04,3,4,UTS,MAE,0.1152528887848554
R03_F04,3,4,UTS,NRMSE,-0.030276827184617383
R03_F04,3,4,UTS,NMAE,0.0011196860995987823
R03_F04,3,4,UTS,MAPE_Percent,-0.10448772964145725
R03_F04,3,4,YS,R2,0.003007511844558719
R03_F04,3,4,YS,RMSE,-0.4172087145261685
R03_F04,3,4,YS,MAE,1.3166955915427963
R03_F04,3,4,YS,NRMSE,-0.00350778851046879
R03_F04,3,4,YS,NMAE,0.01107045348523994
R03_F04,3,4,YS,MAPE_Percent,0.23880761482130097
R03_F05,3,5,El,R2,0.03892299519647646
R03_F05,3,5,El,RMSE,-0.20138754640784606
R03_F05,3,5,El,MAE,-0.1485105748951301
R03_F05,3,5,El,NRMSE,-0.02692582954789985
R03_F05,3,5,El,NMAE,-0.019856095856039924
R03_F05,3,5,El,MAPE_Percent,-0.5768222158453717
R03_F05,3,5,Macro,R2,0.017924985712751695
R03_F05,3,5,Macro,NRMSE,-0.01551840045325692
R03_F05,3,5,Macro,NMAE,-0.008527242041365457
R03_F05,3,5,UTS,R2,0.00637902420666181
R03_F05,3,5,UTS,RMSE,-0.9074465250643584
R03_F05,3,5,UTS,MAE,0.04598145208922233
R03_F05,3,5,UTS,NRMSE,-0.008597779466165412
R03_F05,3,5,UTS,NMAE,0.0004356602550978361
R03_F05,3,5,UTS,MAPE_Percent,-0.09175480741450226
R03_F05,3,5,YS,R2,0.008472937735116703
R03_F05,3,5,YS,RMSE,-1.3454540959173045
R03_F05,3,5,YS,MAE,-0.7514539434319865
R03_F05,3,5,YS,NRMSE,-0.011031592345705388
R03_F05,3,5,YS,NMAE,-0.006161290523154284
R03_F05,3,5,YS,MAPE_Percent,-0.36560120448652356
R04_F01,4,1,El,R2,0.014277868250546333
R04_F01,4,1,El,RMSE,-0.08708768668090272
R04_F01,4,1,El,MAE,-0.047947879597677545
R04_F01,4,1,El,NRMSE,-0.012068304386783746
R04_F01,4,1,El,NMAE,-0.006644448001080272
R04_F01,4,1,El,MAPE_Percent,-0.6281425145557762
R04_F01,4,1,Macro,R2,0.008854492526468638
R04_F01,4,1,Macro,NRMSE,-0.010908940785572419
R04_F01,4,1,Macro,NMAE,-0.008074256771779087
R04_F01,4,1,UTS,R2,0.007470879029736088
R04_F01,4,1,UTS,RMSE,-1.2914023049621122
R04_F01,4,1,UTS,MAE,-0.9682331942623001
R04_F01,4,1,UTS,NRMSE,-0.012545108006211558
R04_F01,4,1,UTS,NMAE,-0.009405736655841102
R04_F01,4,1,UTS,MAPE_Percent,-0.21712676709459977
R04_F01,4,1,YS,R2,0.004814730299123049
