Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent
17,3,1,R03_F01,,,El,0.6752318959076463,4.185190173849806,2.426337037037041,0.5818419487724897,0.3373191208441282,16.848117463294322
17,3,1,R03_F01,,,Macro,0.8284025350716696,,,0.42204409784106905,0.26337721524136964,
17,3,2,R03_F02,,,YS,0.7940336784620051,52.08467646438866,37.65429368056661,0.4277928748809004,0.3092702045722188,11.682365115492509
17,3,2,R03_F02,,,UTS,0.7975162633948752,42.19936844353516,31.398856265922127,0.3973350925038532,0.29564109414643697,7.046829205712414
17,3,2,R03_F02,,,El,0.6285837137734231,4.714931965235268,2.932303842592587,0.667496774582621,0.4151286532782687,21.676682079763008
17,3,2,R03_F02,,,Macro,0.7400445518767679,,,0.4975415806557915,0.34001331733230816,
17,3,3,R03_F03,,,YS,0.8644950973676719,42.72536527188173,31.148221746257175,0.3520657388666183,0.25666771094159263,9.65895005313377
17,3,3,R03_F03,,,UTS,0.8869126420285316,34.66564993478748,25.817193708305748,0.3333236323994138,0.2482423033002488,5.921686104582342
17,3,3,R03_F03,,,El,0.6821574429958008,4.0178619367996955,2.4536402482680364,0.5569811636384088,0.3401389649836782,24.59769280787216
17,3,3,R03_F03,,,Macro,0.8111883941306681,,,0.41412351163481365,0.2816829930751732,
17,3,4,R03_F04,,,YS,0.8001165931355745,55.24714418876202,35.063178482531214,0.46450443357025156,0.29480260200515085,10.896914979256684
17,3,4,R03_F04,,,UTS,0.8269927621094315,43.94412493717889,25.755731679116327,0.4269188075887837,0.2502178908498911,5.951875062891862
17,3,4,R03_F04,,,El,0.6691425042843646,4.252117467242441,2.5103832326551414,0.591894137297379,0.3494449834053704,24.686821634394455
17,3,4,R03_F04,,,Macro,0.7654172865097902,,,0.4944391261521381,0.29815515875347076,
17,3,5,R03_F05,,,YS,0.8674726956842818,41.40531966218009,30.63789509840267,0.3394888081598769,0.25120497985152873,9.333452238115678
17,3,5,R03_F05,,,UTS,0.8816486562582577,33.212075185831424,24.63042924173588,0.3146742977953776,0.23336581597732964,5.923121384687926
17,3,5,R03_F05,,,El,0.6351198991247331,3.6722460465984725,2.711631105100049,0.49098503294942153,0.3625493146673669,23.743589812134488
17,3,5,R03_F05,,,Macro,0.7947470836890909,,,0.3817160463015587,0.2823733701654084,
17,4,1,R04_F01,,,YS,0.891855200625822,42.47172250990498,29.635290671149605,0.3603715603779354,0.2514547400079006,9.764297225358197
17,4,1,R04_F01,,,UTS,0.9005527954852062,33.722212809018174,22.97254543747792,0.3275886997197182,0.22316288470556758,5.796724532727353
17,4,1,R04_F01,,,El,0.6376970075150532,4.375744030025248,2.566308965662287,0.6063751706540198,0.35563004287420147,18.45938495536382
17,4,1,R04_F01,,,Macro,0.8100350012086938,,,0.4314451435838911,0.2767492225292232,
17,4,2,R04_F02,,,YS,0.8289362489086483,59.424735611335876,45.587681825591666,0.5256410380676931,0.40324548609910127,18.971282073448204
17,4,2,R04_F02,,,UTS,0.871257148784062,43.40513441379042,34.03595285687817,0.4402014339635925,0.34518209553464246,8.81263306650723
17,4,2,R04_F02,,,El,0.45592486180089054,6.4141069787765295,3.5665174574340406,0.9500355896065825,0.5282603683922075,24.861751449207002
17,4,2,R04_F02,,,Macro,0.718706086497867,,,0.6386260205459561,0.4255626500086504,
17,4,3,R04_F03,,,YS,0.863661167923255,37.702086928082316,25.24483101281733,0.30281441224639033,0.2027606238346381,7.593061459441
17,4,3,R04_F03,,,UTS,0.8943377439410057,29.31388412623565,19.737182814535565,0.27405431057344276,0.18452211947097413,4.547134224049149
17,4,3,R04_F03,,,El,0.8277727336313554,2.6937475145982495,1.8103553217778456,0.3650140787796798,0.24531073400959957,17.377653480986734
17,4,3,R04_F03,,,Macro,0.8619238818318721,,,0.3139609338665043,0.2108644924384039,
17,4,4,R04_F04,,,YS,0.7244183610841438,57.64407953770807,41.11359532695701,0.46895813626910615,0.33447589404631833,12.025658755991213
17,4,4,R04_F04,,,UTS,0.8054561358267082,43.81816937850383,33.20620723370112,0.4175487944304025,0.31642608522208054,7.383907267036112
17,4,4,R04_F04,,,El,0.7027589869905693,3.5058613223319073,2.5782360841267793,0.4728302810283372,0.34772285043043494,22.421015586967272
17,4,4,R04_F04,,,Macro,0.7442111613004737,,,0.4531124039092819,0.3328749432329446,
17,4,5,R04_F05,,,YS,0.808490310203978,46.97912474195024,31.60069783950633,0.3805340649965346,0.25596777444550056,10.100702812652656
17,4,5,R04_F05,,,UTS,0.82846218797523,39.795064218691834,27.48372685185198,0.3765804406067199,0.26007833309448,6.599227063189185
17,4,5,R04_F05,,,El,0.779150066196777,3.1238027183200265,1.961347530864202,0.42461789813845113,0.26660558978016663,17.561354012601292
17,4,5,R04_F05,,,Macro,0.8053675214586616,,,0.3939108012472352,0.2608838991067157,
17,5,1,R05_F01,,,YS,0.9193769997383661,34.25089683770959,25.762246426429442,0.2845868934494523,0.2140556410395905,7.524732624676586
17,5,1,R05_F01,,,UTS,0.9434625743549772,24.961286447311952,18.459624104333994,0.24112818874308287,0.1783215674621428,4.33336092393166
17,5,1,R05_F01,,,El,0.7960192944606588,3.3812024988390483,1.9965233561897748,0.4721471672186114,0.2787921892387282,19.30514790260521
17,5,1,R05_F01,,,Macro,0.8862862895180007,,,0.33262074980371553,0.22372313258015386,
17,5,2,R05_F02,,,YS,0.8157150927490499,50.67906815879489,36.168251083169885,0.4196950446129863,0.29952476048615717,13.653715263872638
