Feature_Count,Feature,Mandatory,Selection_Frequency,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
15,Sc,False,1.0,10.4,2.3804761428476167,0.24911701499994574,0.11809867961774674
15,Si,False,1.0,9.52,1.3266499161421603,0.259311126725518,0.09256596874278324
15,Tage,True,1.0,2.0,0.0,0.44556222463106976,0.056361550540081226
15,Ti,False,1.0,6.84,0.8504900548115385,0.3287775796378321,0.08723307974135326
15,Tsol,True,1.0,1.0,0.0,0.6293319938815837,0.10073268287440403
15,V,False,1.0,15.0,,0.14120395953873668,
15,Zn,False,1.0,4.0,0.0,1.0,0.0
15,Zr,False,1.0,9.2,1.2583057392117916,0.268967228703724,0.06227454964519501
15,tage,True,1.0,3.0,0.0,0.17919174998463938,0.10821265961942694
16,Be,False,1.0,14.6,0.8660254037844386,0.11040797445503509,0.06544112658720806
16,Cr,False,1.0,12.24,0.8793937305515281,0.21051273366881457,0.07499995590589312
16,Cu,False,1.0,8.12,2.2970996205360072,0.31863304075175236,0.02915233344018511
16,Fe,False,1.0,8.12,1.0535653752852736,0.3115334018426297,0.06544731680673244
16,Li,False,1.0,12.6,0.8660254037844386,0.18670775257503947,0.04701087268515623
16,Mg,False,1.0,5.0,0.0,0.6512026883772646,0.12716301530253005
16,Mn,False,1.0,13.88888888888889,1.5676467522593478,0.12081868765653311,0.023935023765108376
16,Ni,False,1.0,15.458333333333334,0.5882299658752714,0.08318430097089179,0.04473901585500299
16,Sc,False,1.0,10.04,2.0510160083886877,0.2646713340780497,0.10927727611713443
16,Si,False,1.0,9.24,1.392838827718412,0.2762180978507213,0.08992445366242294
16,Tage,True,1.0,2.0,0.0,0.4489544090742645,0.04981132329500826
16,Ti,False,1.0,6.6,0.7637626158259733,0.34910897864366874,0.0747714069324359
16,Tsol,True,1.0,1.0,0.0,0.6483041181043856,0.08592633453659294
16,V,False,1.0,15.875,0.3535533905932738,0.10423978017524027,0.027439070579972774
16,Zn,False,1.0,4.0,0.0,1.0,0.0
16,Zr,False,1.0,9.52,1.1590225767142472,0.2735996765406174,0.058089606928540774
16,tage,True,1.0,3.0,0.0,0.16208495841476547,0.1070454019629209
17,Be,False,1.0,14.6,0.7071067811865475,0.10464364935515508,0.04711203940158702
17,Cr,False,1.0,12.08,1.0770329614269005,0.2073364544730596,0.05604816446155673
17,Cu,False,1.0,8.16,2.0752509888364505,0.31808642500109985,0.027888498971719727
17,Fe,False,1.0,8.12,1.013245610238044,0.3079022972628371,0.05495574871202478
17,Li,False,1.0,12.64,0.7000000000000002,0.18950334086473813,0.049889563650001925
17,Mg,False,1.0,5.0,0.0,0.6528956946812786,0.11659834423127433
17,Mn,False,1.0,14.84,1.7720045146669352,0.10538130603920882,0.03442292328787281
17,Ni,False,1.0,15.52,0.7702813338860898,0.08185435070973292,0.04128515599083175
17,Sc,False,1.0,10.0,1.8027756377319946,0.2656616097768115,0.09188845298127314
17,Si,False,1.0,9.24,1.5885003409925138,0.2789977943376309,0.08156788595414585
17,Tage,True,1.0,2.0,0.0,0.44124839771803487,0.043553869554792964
17,Ti,False,1.0,6.44,0.7118052168020873,0.34947692658291823,0.06519181012500423
17,Tsol,True,1.0,1.0,0.0,0.6496667679997676,0.08291548516794994
17,V,False,1.0,16.68,0.5567764362830023,0.051908071625189484,0.03953099495749544
17,Zn,False,1.0,4.0,0.0,1.0,0.0
17,Zr,False,1.0,9.68,1.3140268896284681,0.2709474904919462,0.04821687675314614
17,tage,True,1.0,3.0,0.0,0.15424287139578036,0.09551228766973911
