Original_Index,Data_Split,Composition_ID,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc
158,Calibration,COMP-eacd4f126ab29a30,0.0,0.0,0.17,0.0,2.58,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.48
159,Proper_Training,COMP-0346738121cb655e,0.0,0.0,0.19,0.0,2.55,0.0,6.98,0.0,0.0,0.29,0.0,0.0,0.0,0.27
160,Proper_Training,COMP-0346738121cb655e,0.0,0.0,0.19,0.0,2.55,0.0,6.98,0.0,0.0,0.29,0.0,0.0,0.0,0.27
161,Proper_Training,COMP-eacd4f126ab29a30,0.0,0.0,0.17,0.0,2.58,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.48
162,Proper_Training,COMP-ddfcf6030a718a0c,0.0,0.0,0.21,0.0,2.6,0.0,6.84,0.0,0.0,0.18,0.0,0.0,0.0,0.37
163,Proper_Training,COMP-b2e9edd7bc55d085,0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Proper_Training,COMP-941f92def7f50542,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22
165,Final_Test,COMP-0346738121cb655e,0.0,0.0,0.19,0.0,2.55,0.0,6.98,0.0,0.0,0.29,0.0,0.0,0.0,0.27
166,Calibration,COMP-ddfcf6030a718a0c,0.0,0.0,0.21,0.0,2.6,0.0,6.84,0.0,0.0,0.18,0.0,0.0,0.0,0.37
167,Proper_Training,COMP-eacd4f126ab29a30,0.0,0.0,0.17,0.0,2.58,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.48
168,Proper_Training,COMP-92ed17371ff559b6,0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0
169,Proper_Training,COMP-92ed17371ff559b6,0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0
