Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent,Selected_Chain_Order,Chain_Order_Status
,4,5,R04_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.8346841870247748,43.648240687289835,31.138161226851683,0.3535536804892807,0.25222119682426974,9.873072001055357,El>YS>UTS,Selected_by_inner_training_CV
,4,5,R04_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.8363337414908372,38.87128107848735,27.403419675926333,0.36783868660296926,0.25931838679742747,6.496620591184145,El>YS>UTS,Selected_by_inner_training_CV
,4,5,R04_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.7675463834045769,3.204816113327856,2.0308145833333215,0.4356300332222521,0.2760482327602503,18.748978143555476,El>YS>UTS,Selected_by_inner_training_CV
,4,5,R04_F05,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.812854770640063,,,0.3856741334381673,0.2625292721273158,,El>YS>UTS,Selected_by_inner_training_CV
,5,1,R05_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.9161052298072345,34.93895522691495,26.72559074074061,0.29030389409978863,0.22205996183244542,8.04453062590145,El>UTS>YS,Selected_by_inner_training_CV
,5,1,R05_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.9405318083804488,25.600079582921165,19.70477199074058,0.24729898575292814,0.19034980387536782,4.695871287969083,El>UTS>YS,Selected_by_inner_training_CV
,5,1,R05_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.7984372333099773,3.361102771133469,1.9259361111111106,0.4693404647211084,0.268935468791757,18.810013732940135,El>UTS>YS,Selected_by_inner_training_CV
,5,1,R05_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.8850247571658869,,,0.3356477815246084,0.22711507816652343,,El>UTS>YS,Selected_by_inner_training_CV
,5,2,R05_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.830149709724135,48.65381319927102,33.78529178240757,0.40292304186173733,0.27979045505436306,12.462959579840813,El>YS>UTS,Selected_by_inner_training_CV
,5,2,R05_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.7922229067412963,48.58725980736146,34.32902152777758,0.471585936501019,0.33319606478173563,8.962258824361456,El>YS>UTS,Selected_by_inner_training_CV
,5,2,R05_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.7591051677614843,3.39695164491508,2.06725497685185,0.46513215731992086,0.28306165869413824,14.295217449278386,El>YS>UTS,Selected_by_inner_training_CV
,5,2,R05_F02,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.7938259280756386,,,0.44654704522755906,0.2986827261767456,,El>YS>UTS,Selected_by_inner_training_CV
,5,3,R05_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.8477444342692111,47.2147800381104,30.72749351851873,0.3926843544407875,0.2555599315757379,11.107245229668175,El>UTS>YS,Selected_by_inner_training_CV
,5,3,R05_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.904002315207065,30.34578788358676,22.146622453704317,0.288504871573127,0.21055338853931546,5.417665634713175,El>UTS>YS,Selected_by_inner_training_CV
,5,3,R05_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.634129440488127,4.823298484496366,2.814808719135818,0.6886152587779473,0.40186611729888144,21.507297375817895,El>UTS>YS,Selected_by_inner_training_CV
,5,3,R05_F03,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.7952920633214676,,,0.4566014949306206,0.28932647913797827,,El>UTS>YS,Selected_by_inner_training_CV
,5,4,R05_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.8593470061487738,42.16531798432206,27.459143518518818,0.34934614188794255,0.22750322554922117,7.100127678338108,El>YS>UTS,Selected_by_inner_training_CV
,5,4,R05_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.840645693316606,39.51732832001727,27.208828240740587,0.37934542736639537,0.26119034398118124,5.757467379410081,El>YS>UTS,Selected_by_inner_training_CV
,5,4,R05_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.7943042299727967,2.5124335739481656,1.8923267013888705,0.33375864534960004,0.2513819282481284,19.826577011648308,El>YS>UTS,Selected_by_inner_training_CV
,5,4,R05_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.8314323098127255,,,0.35415007153464595,0.24669183259284364,,El>YS>UTS,Selected_by_inner_training_CV
,5,5,R05_F05,RegressorChain(ExtraTreesRegressor),UTS>YS>El,YS,0.8204034465350094,51.568774159989204,39.834926851852124,0.4299659047084093,0.332132392942138,13.276123742350732,UTS>YS>El,Selected_by_inner_training_CV
,5,5,R05_F05,RegressorChain(ExtraTreesRegressor),UTS>YS>El,UTS,0.8597614800662956,39.64921442521253,30.611300694444108,0.3837719993401167,0.2962923790600511,7.2912179987562995,UTS>YS>El,Selected_by_inner_training_CV
,5,5,R05_F05,RegressorChain(ExtraTreesRegressor),UTS>YS>El,El,0.7449974997666857,3.807588546844365,2.395771296296315,0.5342086623670307,0.3361292229415078,16.919616424551688,UTS>YS>El,Selected_by_inner_training_CV
,5,5,R05_F05,RegressorChain(ExtraTreesRegressor),UTS>YS>El,Macro,0.808387475455997,,,0.44931552213851883,0.3215179983145657,,UTS>YS>El,Selected_by_inner_training_CV
