Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,YS,UTS,El,Original_Index,Data_Split
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,170.0,4.0,321.0,441.0,3.5,99,Proper_Training
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,170.0,2.0,314.0,433.0,4.0,100,Proper_Training
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,530.0,170.0,2.0,297.0,419.0,8.2,101,Final_Test
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,4.0,524.2,548.7,12.3,102,Proper_Training
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,12.0,540.9,568.0,11.4,103,Proper_Training
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,24.0,561.0,584.0,11.1,104,Proper_Training
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,32.0,556.1,583.3,10.9,105,Proper_Training
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,48.0,548.7,577.0,10.8,106,Proper_Training
0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,25.0,0.0,205.3,389.8,27.0,107,Proper_Training
0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,120.0,24.0,509.7,568.5,3.8,108,Calibration
0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,120.0,48.0,438.6,501.2,3.8,109,Calibration
0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1,470.0,25.0,0.0,288.9,454.8,15.3,110,Proper_Training
0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1,470.0,120.0,24.0,597.5,629.4,4.54,111,Proper_Training
0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1,470.0,120.0,48.0,593.3,621.3,4.55,112,Proper_Training
0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,470.0,120.0,48.0,620.2,653.8,8.9,113,Final_Test
0.16,0.11,2.42,0.1,2.07,0.0,5.87,0.0,0.05,0.1,0.0,0.0,0.0,0.0,473.0,120.0,24.0,510.0,579.0,15.3,114,Proper_Training
0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,470.0,120.0,24.0,577.0,654.0,13.0,115,Proper_Training
0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,470.0,150.0,8.0,589.0,627.0,8.0,116,Final_Test
0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,470.0,150.0,30.0,557.0,585.0,10.0,117,Final_Test
0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25,470.0,120.0,24.0,600.0,679.0,14.0,118,Proper_Training
0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25,470.0,150.0,8.0,611.0,648.0,12.0,119,Calibration
0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25,470.0,150.0,30.0,602.0,628.0,12.0,120,Proper_Training
0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,120.0,12.0,416.0,463.0,14.5,121,Proper_Training
0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,120.0,36.0,450.0,485.0,15.4,122,Proper_Training
0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,12.0,493.0,532.0,19.4,123,Proper_Training
0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,24.0,513.0,540.0,19.4,124,Final_Test
0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,36.0,509.0,532.0,19.6,125,Proper_Training
0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26,460.0,120.0,24.0,553.8,567.4,11.6,126,Proper_Training
0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26,470.0,120.0,24.0,560.6,580.9,11.1,127,Proper_Training
0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26,480.0,120.0,24.0,557.2,578.0,11.0,128,Calibration
0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26,490.0,120.0,24.0,530.5,550.8,10.8,129,Calibration
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,450.0,120.0,24.0,511.5,544.6,12.3,130,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,460.0,120.0,24.0,516.3,544.9,12.2,131,Calibration
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,24.0,524.1,555.0,12.4,132,Final_Test
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,480.0,120.0,24.0,512.8,543.0,13.3,133,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,490.0,120.0,24.0,511.9,539.7,11.9,134,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,100.0,24.0,458.4,530.8,16.9,135,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,110.0,24.0,512.8,544.0,15.0,136,Calibration
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,130.0,24.0,507.3,527.8,12.3,137,Final_Test
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,1.0,319.8,428.2,23.0,138,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,4.0,427.1,495.0,15.3,139,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,8.0,466.2,515.8,14.4,140,Final_Test
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,12.0,487.9,522.4,12.8,141,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,16.0,520.4,543.6,12.7,142,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,20.0,524.4,547.7,12.6,143,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,28.0,522.4,546.7,11.0,144,Proper_Training
0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,36.0,516.3,541.6,10.0,145,Proper_Training
0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0,525.0,190.0,10.0,439.0,542.0,8.2,146,Proper_Training
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,525.0,190.0,10.0,402.0,500.0,7.6,147,Proper_Training
0.0,0.0,1.22,0.0,0.61,0.0,0.0,0.0,0.0,0.08,2.49,0.0,0.0,0.0,525.0,190.0,16.0,304.0,425.0,9.4,148,Proper_Training
0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0,525.0,25.0,1440.0,229.0,380.0,15.1,149,Proper_Training
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,525.0,25.0,1440.0,213.0,372.0,14.0,150,Proper_Training
0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0,525.0,25.0,0.0,204.0,369.0,15.6,151,Calibration
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,525.0,25.0,0.0,186.0,342.0,14.8,152,Proper_Training
0.0,0.0,1.22,0.0,0.61,0.0,0.0,0.0,0.0,0.08,2.49,0.0,0.0,0.0,525.0,25.0,1440.0,165.0,296.0,23.3,153,Final_Test
